City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Port Alfred,ZA,58.15,broken clouds,-33.5906,26.891,The Halyards Hotel
10,Port Elizabeth,ZA,52.11,scattered clouds,-33.918,25.5701,39 On Nile Guest House
16,Sande,DE,52.18,clear sky,53.5049,8.0142,Auf dem alten Deich
17,Bredasdorp,ZA,54.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
22,Hovd,MN,53.08,few clouds,48.0056,91.6419,Hotel Khovd
24,East London,ZA,58.21,broken clouds,-33.0153,27.9116,Tu Casa
25,Vestmannaeyjar,IS,47.16,overcast clouds,63.4427,-20.2734,Glamping & Camping
30,Mataura,NZ,42.48,few clouds,-46.1927,168.8643,Ellie's Villa
34,Cape Town,ZA,56.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
38,Mar Del Plata,AR,57.74,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
41,Severo-Kurilsk,RU,51.96,few clouds,50.6789,156.125,Kak Doma
43,Ahipara,NZ,57.78,clear sky,-35.1667,173.1667,Ahipara Holiday Park
45,Carnarvon,AU,58.05,clear sky,-24.8667,113.6333,Hospitality Carnarvon
46,Airai,TL,57.79,overcast clouds,-8.9266,125.4092,Juvinal Martin
47,Bluff,NZ,42.8,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
48,Esperance,AU,49.01,few clouds,-33.8667,121.9,Hospitality Esperance
49,Hobart,AU,54.27,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
51,La Ronge,CA,45.79,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
56,Brae,GB,55.17,overcast clouds,60.3964,-1.353,Busta House Hotel
57,Longyearbyen,SJ,41.41,overcast clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
62,Te Anau,NZ,43.0,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
63,Kushiro,JP,58.69,overcast clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
64,Havoysund,NO,43.12,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
72,Codrington,AU,49.28,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
85,Lebu,CL,52.2,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
87,Port Shepstone,ZA,59.07,broken clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
93,Nikolskoye,RU,45.01,broken clouds,59.7035,30.7861,Tourist House - Sablino
95,Tuktoyaktuk,CA,47.05,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
98,Ovre Ardal,NO,45.97,broken clouds,61.3167,7.8,Sitla Motel & Apartment
100,Thompson,CA,50.36,overcast clouds,55.7435,-97.8558,Burntwood Hotel
103,Caohai,CN,56.55,overcast clouds,26.8661,104.2841,Jinhua Hotel
108,Geraldton,AU,51.6,clear sky,-28.7667,114.6,Broadwater Mariner Resort
114,Kruisfontein,ZA,49.89,few clouds,-34.0033,24.7314,Oyster Bay House Rental
117,Valparaiso,CL,57.11,few clouds,-33.0393,-71.6273,Hotel Ultramar
119,Busselton,AU,56.05,overcast clouds,-33.65,115.3333,Observatory Guest House
126,Aklavik,CA,44.04,overcast clouds,68.2191,-135.0107,Aklavik Inn
132,Port Augusta,AU,53.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
134,Haines Junction,CA,45.73,overcast clouds,60.7522,-137.5108,Parkside Inn
135,Okha,RU,56.64,light rain,53.5739,142.9478,Империя
