City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Lagoa,PT,2021-09-17 21:47:46,39.05,-27.9833,67.51,71,100,8.16,overcast clouds
1,Port Alfred,ZA,2021-09-17 21:47:46,-33.5906,26.891,58.15,55,83,3.4,broken clouds
2,Ushuaia,AR,2021-09-17 21:42:40,-54.8,-68.3,37.83,83,100,1.1,overcast clouds
3,Punta Arenas,CL,2021-09-17 21:43:19,-53.15,-70.9167,39.49,82,97,2.35,overcast clouds
4,Jamestown,US,2021-09-17 21:46:25,42.097,-79.2353,79.18,84,27,4.36,scattered clouds
5,Khatanga,RU,2021-09-17 21:47:47,71.9667,102.5,26.56,93,13,8.68,few clouds
6,Avarua,CK,2021-09-17 21:47:47,-21.2078,-159.775,75.06,70,26,17.85,scattered clouds
7,Tezu,IN,2021-09-17 21:47:48,27.9167,96.1667,72.63,98,100,2.8,light rain
8,Usak,TR,2021-09-17 21:47:48,38.5,29.4167,62.65,25,0,3.44,clear sky
9,Tual,ID,2021-09-17 21:47:48,-5.6667,132.75,80.53,77,100,17.83,overcast clouds
10,Port Elizabeth,ZA,2021-09-17 21:47:49,-33.918,25.5701,52.11,69,33,3.42,scattered clouds
11,Huayang,CN,2021-09-17 21:47:49,34.4155,109.9939,56.16,96,100,3.2,overcast clouds
12,Vaini,TO,2021-09-17 21:45:46,-21.2,-175.2,76.26,82,3,9.44,clear sky
13,Avera,US,2021-09-17 21:45:14,33.194,-82.5271,84.7,57,63,6.78,broken clouds
14,Basudebpur,IN,2021-09-17 21:47:50,21.1353,86.7386,78.96,90,100,3.89,light rain
15,Calama,CL,2021-09-17 21:47:50,-22.4667,-68.9333,69.39,10,8,9.86,clear sky
16,Sande,DE,2021-09-17 21:47:51,53.5049,8.0142,52.18,94,5,5.17,clear sky
17,Bredasdorp,ZA,2021-09-17 21:44:07,-34.5322,20.0403,54.28,84,0,10.31,clear sky
18,Lompoc,US,2021-09-17 21:46:03,34.6391,-120.4579,72.57,61,11,5.99,few clouds
19,Porbandar,IN,2021-09-17 21:43:15,21.6422,69.6093,79.92,87,54,9.46,broken clouds
20,Lorengau,PG,2021-09-17 21:47:52,-2.0226,147.2712,83.55,75,72,11.48,broken clouds
21,Chokurdakh,RU,2021-09-17 21:47:03,70.6333,147.9167,31.68,80,100,12.91,overcast clouds
22,Hovd,MN,2021-09-17 21:47:52,48.0056,91.6419,53.08,42,19,8.7,few clouds
23,Iqaluit,CA,2021-09-17 21:47:52,63.7506,-68.5145,35.06,79,100,14.52,overcast clouds
24,East London,ZA,2021-09-17 21:44:48,-33.0153,27.9116,58.21,59,66,3.87,broken clouds
25,Vestmannaeyjar,IS,2021-09-17 21:46:13,63.4427,-20.2734,47.16,66,100,10.27,overcast clouds
26,Lere,NG,2021-09-17 21:47:53,10.387,8.5726,69.75,92,91,2.75,light rain
27,Sovetskiy,RU,2021-09-17 21:47:53,61.3614,63.5842,38.41,78,98,13.56,overcast clouds
28,Bremerton,US,2021-09-17 21:34:00,47.5673,-122.6326,61.43,79,100,4.0,light rain
29,Porosozero,RU,2021-09-17 21:47:54,62.7191,32.727,35.71,95,71,4.09,broken clouds
30,Mataura,NZ,2021-09-17 21:46:18,-46.1927,168.8643,42.48,59,13,3.42,few clouds
31,Hithadhoo,MV,2021-09-17 21:38:59,-0.6,73.0833,82.26,74,100,4.38,overcast clouds
32,Miguel Calmon,BR,2021-09-17 21:47:55,-11.4289,-40.595,70.29,56,2,4.88,clear sky
33,Nouadhibou,MR,2021-09-17 21:47:55,20.931,-17.0347,74.55,73,88,18.03,overcast clouds
34,Cape Town,ZA,2021-09-17 21:44:47,-33.9258,18.4232,56.88,77,0,5.99,clear sky
35,Barrow,US,2021-09-17 21:47:56,71.2906,-156.7887,31.01,88,100,10.6,overcast clouds
36,Kindu,CD,2021-09-17 21:47:56,-2.95,25.95,70.7,98,100,3.53,light rain
37,Atuona,PF,2021-09-17 21:47:56,-9.8,-139.0333,77.97,71,16,17.09,few clouds
38,Mar Del Plata,AR,2021-09-17 21:35:10,-38.0023,-57.5575,57.74,78,0,10.45,clear sky
39,Tasiilaq,GL,2021-09-17 21:44:29,65.6145,-37.6368,28.81,62,100,1.83,overcast clouds
40,Raalte,NL,2021-09-17 21:47:57,52.3858,6.275,60.1,92,98,5.3,overcast clouds
41,Severo-Kurilsk,RU,2021-09-17 21:42:46,50.6789,156.125,51.96,67,20,7.23,few clouds
42,Dikson,RU,2021-09-17 21:38:53,73.5069,80.5464,33.8,72,42,20.2,scattered clouds
43,Ahipara,NZ,2021-09-17 21:43:59,-35.1667,173.1667,57.78,57,1,8.72,clear sky
44,Katobu,ID,2021-09-17 21:47:58,-4.9408,122.5276,72.66,89,89,3.49,overcast clouds
45,Carnarvon,AU,2021-09-17 21:44:45,-24.8667,113.6333,58.05,44,0,19.01,clear sky
46,Airai,TL,2021-09-17 21:43:08,-8.9266,125.4092,57.79,53,99,3.29,overcast clouds
47,Bluff,NZ,2021-09-17 21:47:59,-46.6,168.3333,42.8,68,11,5.1,few clouds
48,Esperance,AU,2021-09-17 21:47:59,-33.8667,121.9,49.01,77,11,16.04,few clouds
49,Hobart,AU,2021-09-17 21:43:32,-42.8794,147.3294,54.27,83,68,5.99,broken clouds
50,Albany,US,2021-09-17 21:44:10,42.6001,-73.9662,75.85,82,68,5.28,broken clouds
51,La Ronge,CA,2021-09-17 21:48:00,55.1001,-105.2842,45.79,74,100,4.59,overcast clouds
52,Saskylakh,RU,2021-09-17 21:48:00,71.9167,114.0833,30.45,91,99,8.84,overcast clouds
53,Tucumcari,US,2021-09-17 21:48:01,35.1717,-103.725,85.95,24,0,15.43,clear sky
54,Cidreira,BR,2021-09-17 21:44:33,-30.1811,-50.2056,62.33,94,100,16.71,overcast clouds
55,Bethel,US,2021-09-17 21:48:01,41.3712,-73.414,74.62,86,47,5.59,scattered clouds
56,Brae,GB,2021-09-17 21:48:01,60.3964,-1.353,55.17,97,100,20.94,overcast clouds
57,Longyearbyen,SJ,2021-09-17 21:44:29,78.2186,15.6401,41.41,88,98,6.73,overcast clouds
58,Inawashiro,JP,2021-09-17 21:48:02,37.5667,140.1167,66.69,98,100,5.26,overcast clouds
59,Dingle,PH,2021-09-17 21:46:41,10.9995,122.6711,74.98,94,100,3.02,overcast clouds
60,Bowen,AU,2021-09-17 21:48:02,-20.0167,148.2333,72.27,60,3,16.64,clear sky
61,Rikitea,PF,2021-09-17 21:48:03,-23.1203,-134.9692,71.94,74,60,11.05,broken clouds
62,Te Anau,NZ,2021-09-17 21:47:57,-45.4167,167.7167,43.0,76,42,2.51,scattered clouds
63,Kushiro,JP,2021-09-17 21:48:03,42.975,144.3747,58.69,96,100,17.4,overcast clouds
64,Havoysund,NO,2021-09-17 21:46:48,70.9963,24.6622,43.12,81,99,8.93,overcast clouds
65,Hilo,US,2021-09-17 21:48:04,19.7297,-155.09,82.8,81,78,3.0,broken clouds
66,Akropong,GH,2021-09-17 21:48:04,5.9746,-0.0854,72.01,91,100,5.39,overcast clouds
67,Nago,JP,2021-09-17 21:48:05,26.5881,127.9761,79.14,79,4,3.69,clear sky
68,Mangaratiba,BR,2021-09-17 21:48:05,-22.9597,-44.0406,68.85,92,87,7.16,overcast clouds
69,Eureka,US,2021-09-17 21:44:15,40.8021,-124.1637,79.66,60,96,3.0,overcast clouds
70,Kapaa,US,2021-09-17 21:48:06,22.0752,-159.319,80.11,59,100,5.01,overcast clouds
71,Marawi,PH,2021-09-17 21:48:06,7.9986,124.2928,65.64,89,95,3.87,moderate rain
72,Codrington,AU,2021-09-17 21:48:06,-38.2667,141.9667,49.28,76,18,18.25,few clouds
73,Kaka,TM,2021-09-17 21:48:07,37.3482,59.6143,79.66,49,0,7.27,clear sky
74,Batticaloa,LK,2021-09-17 21:48:05,7.7102,81.6924,81.59,79,100,4.45,overcast clouds
75,Dauphin,CA,2021-09-17 21:48:07,51.1494,-100.0502,61.39,34,59,9.06,broken clouds
76,Grand-Santi,GF,2021-09-17 21:48:08,4.25,-54.3833,75.67,91,84,2.3,light rain
77,Akdepe,TM,2021-09-17 21:48:08,42.0551,59.3788,64.72,42,1,10.98,clear sky
78,Biak,ID,2021-09-17 21:48:08,-0.9131,122.8766,74.8,84,96,7.54,light rain
79,Paita,PE,2021-09-17 21:48:09,-5.0892,-81.1144,66.16,80,47,18.39,scattered clouds
80,Segou,ML,2021-09-17 21:48:09,13.4317,-6.2157,80.15,66,95,4.83,overcast clouds
81,Kavieng,PG,2021-09-17 21:48:10,-2.5744,150.7967,82.83,76,44,13.4,light rain
82,Sao Joao Da Barra,BR,2021-09-17 21:48:10,-21.6403,-41.0511,71.13,91,70,5.7,broken clouds
83,Ponta Do Sol,PT,2021-09-17 21:48:10,32.6667,-17.1,75.0,76,3,2.66,clear sky
84,Porangatu,BR,2021-09-17 21:48:11,-13.4408,-49.1486,87.13,17,0,3.71,clear sky
85,Lebu,CL,2021-09-17 21:44:03,-37.6167,-73.65,52.2,87,98,10.16,overcast clouds
86,Tiksi,RU,2021-09-17 21:47:01,71.6872,128.8694,34.43,76,100,15.46,overcast clouds
87,Port Shepstone,ZA,2021-09-17 21:48:11,-30.7414,30.455,59.07,69,81,12.68,broken clouds
88,San Cristobal,VE,2021-09-17 21:43:52,7.7669,-72.225,78.46,57,11,5.5,few clouds
89,Rancho Palos Verdes,US,2021-09-17 21:48:12,33.7445,-118.387,87.67,70,23,7.0,few clouds
90,Saint George,US,2021-09-17 21:48:12,37.1041,-113.5841,95.63,13,22,4.0,few clouds
91,Tarauaca,BR,2021-09-17 21:48:13,-8.1614,-70.7656,82.31,69,79,1.41,broken clouds
92,Sao Raimundo Nonato,BR,2021-09-17 21:48:13,-9.0153,-42.6994,82.81,30,0,5.06,clear sky
93,Nikolskoye,RU,2021-09-17 21:48:13,59.7035,30.7861,45.01,64,77,3.4,broken clouds
94,Alta Floresta,BR,2021-09-17 21:48:14,-9.8756,-56.0861,85.84,38,36,4.18,scattered clouds
